Code,Title,Story,Phase,Status,Category,Done When,Chris Notes
AUTH 01,Sign Up,"As a practitioner, I want to create an account using my email address and a password, so that I can access Leida securely from any device.",Phase 1,Not started,Auth,"• Practitioner can sign up with email and password
• Confirmation email is sent
• Practitioner is directed to onboarding flow on first login
• Error states handled — duplicate email, weak password",
AUTH 02,Log In,"As a practitioner, I want to log in to my existing account, so that I can access my clients, products and recommendations.",Phase 1,Not started,Auth,"• Practitioner can log in with email and password
• Failed login shows a clear error message
• Session persists so they don't have to log in every time on the same device",
AUTH 03,Forgot Password,"As a practitioner, I want to reset my password if I've forgotten it, so that I can regain access to my account without contacting support.",Phase 1,Not started,Auth,"• Forgot password link on login screen
• Reset email sent within 60 seconds
• Password successfully updated and practitioner can log in with new password
I would love to keep the team as lean as possible to be reticent of where we can reduce the need for real-human customer service.",
CLIENT 01,Add a New Client,"As a practitioner, I want to add a new client with their name and basic skin information, so that I can build personalised recommendations for them.",Phase 1,Not started,Clients,"• New client form collects: name, skin type, skin concerns (multi-select from predefined list) (fields TBC)
• Client saved and appears in client list
• No duplicate clients with the same name and email",
CLIENT 02,View Client Profile,"As a practitioner, I want to view a client's profile including their skin details and recommendation history, so that I have full context before their appointment and can track their progress over time.",Phase 1,Not started,Clients,"• Client profile shows: name, skin type, concerns, notes, all previous recommendations in date order
• Previous recommendations are viewable in full
• Profile is quick to load on mobile",
CLIENT 03,Edit Client Details,"As a practitioner, I want to update a client's skin profile as their skin changes, so that future recommendations always reflect their current skin condition. Also edit & add new context about the client such as children's names or future events. ",Phase 1,Not started,Clients,"  • There should be two boxes for client notes, one which Leida uses when writing the PDF copy to make it more personalised & one that is just for the practitioner to look at, must NOT be used by the Claude API.
• All client fields editable after creation
• Changes saved immediately
• Edit history not required at this stage
• Practitioner can upload a client photo which displays on their profile
• A personal notes field available for conversational context not used by Leida
• A skin-relevant events field available for upcoming occasions or life changes that Leida can reference when generating recommendations
• Skin-relevant events field is passed to the AI as context during recommendation generation",
CLIENT 04,Search for a Client,"As a practitioner, I want to search for a client by name, so that I can find them quickly without scrolling through my entire client list.",Phase 1,Not started,Clients,"• Search bar on client list screen
• Results appear as practitioner types
• Works correctly when client list is large",
CLIENT 05,Add New Client from Recommendation Flow,"As a practitioner, I want to add a new client directly from the start a recommendation button, so that I can begin building their recommendation immediately without navigating away to create their profile first.",Phase 1,Not started,"Clients, Recommendations","  • Option to add new client at the start of the recommendation flow
• Minimum fields required at this stage — name and basic skin type only
• Full profile can be completed later from the client profile page
• New client saved and linked to the recommendation being built
• Practitioner returned to recommendation flow immediately after adding client details
• No duplicate clients created if client already exists — search checks existing clients first, with option to ‘add new client’",
ONBOARD 01,Clinic Profile Setup,"As a new practitioner, I want to set up my clinic profile during onboarding, including uploading my logo, so that my client recommendations are presented professionally under my clinic's identity.",Phase 1,Not started,Onboarding,"Exact onboarding flow needs to be decided.
• Practitioner enters clinic name, their name and email
• Logo upload available during onboarding
• Logo appears at the top of generated PDFs
• Profile saved and editable after onboarding",
ONBOARD 02,Add First Products,"As a new practitioner, I want to add at least four products to my database during onboarding, so that I have enough to build my first recommendation and experience Leida's value immediately.",Phase 1,Not started,Onboarding,"• Onboarding prompts practitioner to add minimum 4 products
• Products saved to their database
• Cannot skip this step — it is the gateway to the wow moment
• Progress indicator shows where they are in onboarding",
